key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-1000428197,"Cadmium, Smoking, and Human Blood DNA Methylation Profiles in Adults        from the Strong Heart Study",2020,6,,ENVIRONMENTAL HEALTH PERSPECTIVES,0091-6765,128,6,,"Domingo-Relloso, A and Riffo-Campos, AL and Haack, K and Rentero-Garrido, P and Ladd-Acosta, C and Fallin, DM and Tang, WY and Herreros-Martinez, M and Gonzalez, JR and Bozack, AK and Cole, SA and Navas-Acien, A and Tellez-Plaza, M and Domingo-Relloso, Arce and Riffo-Campos, Angela L. and Haack, Karin and Rentero-Garrido, Pilar and Ladd-Acosta, Christine and Fallin, Daniele M. and Tang, Wan Yee and Herreros-Martinez, Miguel and Gonzalez, Juan R. and Bozack, Anne K. and Cole, Shelley A. and Navas-Acien, Ana and Tellez-Plaza, Maria",,English,US DEPT HEALTH HUMAN SCIENCES PUBLIC HEALTH SCIENCE,"NATL INST HEALTH, NATL INST ENVIRONMENTAL HEALTH SCIENCES, PO BOX 12233,        RES TRIANGLE PK, NC 27709-2233 USA","B ACKGROUND : The epigenetic e ff ects of individual environmental toxicants in tobacco remain largely unexplored. Cadmium (Cd) has been associated with smoking -related health e ff ects, and its concentration in tobacco smoke is higher in comparison with other metals. O BJECTIVES : We studied the association of Cd and smoking exposures with human blood DNA methylation (DNAm) pro fi les. We also evaluated the implication of fi ndings to relevant methylation pathways and the potential contribution of Cd exposure from smoking to explain the association between smoking and site -speci fi c DNAm. M ETHODS : We conducted an epigenome-wide association study of urine Cd and self -reported smoking (current and former vs. never, and cumulative smoking dose) with blood DNAm in 790,026 CpGs (methylation sites) measured with the Illumina In fi nium Human MethylationEPIC (Illumina Inc.) platform in 2,325 adults 45 - 74 years of age who participated in the Strong Heart Study in 1989 - 1991. In a mediation analysis, we estimated the amount of change in DNAm associated with smoking that can be independently attributed to increases in urine Cd concentrations from smoking. We also conducted enrichment analyses and in silico protein - protein interaction networks to explore the biological relevance of the fi ndings. R ESULTS : At a false discovery rate (FDR)-corrected level of 0.05, we found 6 di ff erentially methylated positions (DMPs) for Cd; 288 and 17, respec- tively, for current and former smoking status; and 77 for cigarette pack -years. Enrichment analyses of these DMPs displayed enrichment of 58 and 6 Gene Ontology and Kyoto Encyclopedia of Genes and Genomes gene sets, respectively, including biological pathways for cancer and cardiovascular disease. In in silico protein -to -protein networks, we observed key proteins in DNAm pathways directly and indirectly connected to Cd- and smoking- DMPs. Among DMPs that were signi fi cant for both Cd and current smoking (annotated to PRSS23, AHRR, F2RL3, RARA, and 2q37.1), we found statistically signi fi cant contributions of Cd to smoking -related DNAm. C ONCLUSIONS : Beyond replicating well-known smoking epigenetic signatures, we found novel DMPs related to smoking. Moreover, increases in smoking -related Cd exposure were associated with di ff erential DNAm. Our integrative analysis supports a biological link for Cd and smoking -associated health e ff ects, including the possibility that Cd is partly responsible for smoking toxicity through epigenetic changes. https://doi.org/10.1289/EHP6345","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: cadmium,smoking",10.1289/EHP6345,HYDROCARBON RECEPTOR REPRESSOR;CHRONIC KIDNEY-DISEASE;CIGARETTE-SMOKING;CARDIOVASCULAR-DISEASE;F2RL3 METHYLATION;OXIDATIVE        STRESS;MATERNAL SMOKING;HEAVY-METALS;EXPOSURE;POPULATION;Humanities;Humanism;Humans;DNA (Cytosine-5-)-Methyltransferase;Smoke,,
rayyan-1000428209,Enhanced exposure assessment and genome-wide DNA methylation in World        Trade Center disaster responders,2019,5,,EUROPEAN JOURNAL OF CANCER PREVENTION,0959-8278,28,3,225-233,"Kuan, PF and Mi, ZY and Georgopoulos, P and Hashim, D and Luft, BJ and Boffetta, P and Kuan, Pei-Fen and Mi, Zhongyuan and Georgopoulos, Panos and Hashim, Dana and Luft, Benjamin J. and Boffetta, Paolo",,English,LIPPINCOTT WILLIAMS & WILKINS,"TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, PA 19103 USA","DNA methylation has emerged as a promising target linking environmental exposures and cancer. The World Trade Center (WTC) responders sustained exposures to potential carcinogens, resulting in an increased risk of cancer. Previous studies of cancer risk in WTC-exposed responders were limited by the deficiency in quantitative and individual information on exposure to carcinogens. The current study introduces a new exposure-ranking index (ERI) for estimating cancer-related acute and chronic exposures, which aimed to improve the ability of future analyses to estimate cancer risk. An epigenome-wide association study based on DNA methylation and a weighted gene co-expression network analysis were carried out to identify cytosine-phosphate-guanosine (CpG) sites, modules of correlated CpG sites, and biological pathways associated with the new ERI. Methylation was profiled on blood samples using Illumina 450K Beadchip. No significant epigenome-wide association was found for ERI at a false discovery rate of 0.05. Several cancer-related pathways emerged in pathway analyses for the top ranking genes from epigenome-wide association study as well as enriched module from the weighted gene co-expression network analysis. The current study was the first DNA methylation study that aimed to identify methylation signature for cancer-related exposure in the WTC population. No CpG sites survived multiple testings adjustment. However, enriched gene sets involved in cancer, were identified in both acute and chronic ERIs, supporting the view that multiple genes play a role in this complex exposure. Copyright (c) 2018 Wolters Kluwer Health, Inc. All rights reserved.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: WTC",10.1097/CEJ.0000000000000460,NEW-YORK-CITY;PARTICULATE MATTER;RECOVERY WORKERS;LOWER MANHATTAN;CENTER RESCUE;CANCER;SEPTEMBER-11;COLLAPSE;FIREFIGHTERS;ASSOCIATION;DNA (Cytosine-5-)-Methyltransferase;Disasters;Genome;Genomics;DNA,,
rayyan-1000428216,Epigenome-wide association studies of occupational exposure to benzene        and formaldehyde,2022,12,9,EPIGENETICS,1559-2294,17,13,2259-2277,"Phillips, RV and Wei, LQ and Cardenas, A and Hubbard, AE and McHale, CM and Vermeulen, R and Wei, H and Smith, MT and Zhang, LP and Lan, Q and Rothman, N and Phillips, Rachael V. and Wei, Linqing and Cardenas, Andres and Hubbard, Alan E. and McHale, Cliona M. and Vermeulen, Roel and Wei, Hu and Smith, Martyn T. and Zhang, Luoping and Lan, Qing and Rothman, Nathaniel",,English,TAYLOR & FRANCIS INC,"530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA","relationship between certain myeloid neoplasms and exposure to benzene or formaldehyde. DNA methylation could underlie benzene- and formaldehyde-induced health outcomes, but data in exposed human populations are limited. We conducted two cross-sectional epigenome-wide association studies (EWAS), one in workers exposed to benzene and another in workers exposed to formaldehyde. Using HumanMethylation450 BeadChips, we investigated differences in blood cell DNA methylation among 50 benzene-exposed subjects and 48 controls, and among 31 formaldehyde-exposed subjects and 40 controls. We performed CpG-level and regional-level analyses. In the benzene EWAS, we found genome-wide significant alterations, i.e., FWER-controlled P-values <0.05, in the mean and variance of methylation at 22 and 318 CpG sites, respectively, and in mean methylation of a large genomic region. Pathway analysis of genes corresponding to benzene-associated differential methylation sites revealed an impact on the AMPK signalling pathway. In formaldehyde-exposed subjects compared to controls, 9 CpGs in the DUSP22 gene promoter had genome-wide significant decreased methylation variability and a large region of the HOXA5 promoter with 44 CpGs was hypomethylated. Our findings suggest that DNA methylation may contribute to the pathogenesis of diseases related to benzene and formaldehyde exposure. Aberrant expression and methylation of HOXA5 previously has been shown to be clinically significant in myeloid leukaemias. The tumour suppressor gene DUSP22 is a potential biomarker of exposure to formaldehyde, and irregularities have been associated with multiple exposures and diseases.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: Benzene,Formaldehyde",10.1080/15592294.2022.2115604     EA AUG 2022,ACUTE MYELOID-LEUKEMIA;HOX GENE-EXPRESSION;DNA METHYLATION;HYPOMETHYLATION;WORKERS;PACKAGE;PATHWAY;LEVEL;HYPERMETHYLATION;HEMATOTOXICITY;Occupational Exposure;Epigenomics,,
rayyan-1000428224,DNA methylation and smoking in Korean adults: epigenome-wide association        study,2016,9,22,CLINICAL EPIGENETICS,1868-7083,8,,,"Lee, MK and Hong, Y and Kim, SY and London, SJ and Kim, WJ and Lee, Mi Kyeong and Hong, Yoonki and Kim, Sun-Young and London, Stephanie J. and Kim, Woo Jin",,English,BIOMED CENTRAL LTD,"236 GRAYS INN RD, FLOOR 6, LONDON WC1X 8HL, ENGLAND","Background: Exposure to cigarette smoking can increase the risk of cancers and cardiovascular and pulmonary diseases. However, the underlying mechanisms of how smoking contributes to disease risks are not completely understood. Epigenome-wide association studies (EWASs), mostly in non-Asian populations, have been conducted to identify smoking-associated methylation alterations at individual probes. There are few data on regional methylation changes in relation to smoking. Few data link differential methylation in blood to differential gene expression in lung tissue.        Results: We identified 108 significant (false discovery rate (FDR) < 0.05) differentially methylated probes (DMPs) and 87 significant differentially methylated regions (DMRs) (multiple-testing corrected p < 0.01) in current compared to never smokers from our EWAS of cotinine-validated smoking in blood DNA from a Korean chronic obstructive pulmonary disease cohort (n = 100 including 31 current, 30 former, and 39 never smokers) using Illumina HumanMethylation450 BeadChip. Of the 108 DMPs (FDR < 0.05), nine CpGs were statistically significant based on Bonferroni correction and 93 were novel including five that mapped to loci previously associated with smoking. Of the 87 DMRs, 66 were mapped to novel loci. Methylation correlated with urine cotinine levels in current smokers at six DMPs, with pack-years in current smokers at six DMPs, and with duration of smoking cessation in former smokers at eight DMPs. Of the 143 genes to which our significant DMPs or DMRs annotated, gene expression levels at 20 genes were associated with pack-years in lung tissue transcriptome data of smokers (Asan Biobank, n = 188).        Conclusions: Our study of differential methylation in Koreans confirmed previous findings from non-Asian populations and revealed novel loci in relation to smoking. Smoking-related differential methylation in blood is associated with gene expression in lung tissue, an important target of adverse health effects of smoking, supporting the potential functional importance of methylation in smoking-related disease.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: smoking",10.1186/s13148-016-0266-6,SELF-REPORTED SMOKING;HYDROCARBON RECEPTOR REPRESSOR;CIGARETTE-SMOKING;HUMAN GENOME;ANALYSIS PIPELINES;LUNG-CANCER;BIOMARKER;DISEASE;BLOOD;LOCI;DNA (Cytosine-5-)-Methyltransferase;Smoke;DNA-(Apurinic or Apyrimidinic Site) Lyase;DNA;Methylation;DNA Methylation,,
rayyan-1000428229,Association between Usual Dietary Intake of Food Groups and DNA        Methylation and Effect Modification by Metabotype in the KORA FF4 Cohort,2022,7,,LIFE-BASEL,,12,7,,"Hellbach, F and Baumeister, SE and Wilson, R and Wawro, N and Dahal, C and Freuer, D and Hauner, H and Peters, A and Winkelmann, J and Schwettmann, L and Rathmann, W and Kronenberg, F and Koenig, W and Meisinger, C and Waldenberger, M and Linseisen, J and Hellbach, Fabian and Baumeister, Sebastian-Edgar and Wilson, Rory and Wawro, Nina and Dahal, Chetana and Freuer, Dennis and Hauner, Hans and Peters, Annette and Winkelmann, Juliane and Schwettmann, Lars and Rathmann, Wolfgang and Kronenberg, Florian and Koenig, Wolfgang and Meisinger, Christa and Waldenberger, Melanie and Linseisen, Jakob",,English,MDPI,"ST ALBAN-ANLAGE 66, CH-4052 BASEL, SWITZERLAND","Associations between diet and DNA methylation may vary among subjects with different metabolic states, which can be captured by clustering populations in metabolically homogenous subgroups, called metabotypes. Our aim was to examine the relationship between habitual consumption of various food groups and DNA methylation as well as to test for effect modification by metabotype. A cross-sectional analysis of participants (median age 58 years) of the population-based prospective KORA FF4 study, habitual dietary intake was modeled based on repeated 24-h diet recalls and a food frequency questionnaire. DNA methylation was measured using the Infinium MethylationEPIC BeadChip providing data on >850,000 sites in this epigenome-wide association study (EWAS). Three metabotype clusters were identified using four standard clinical parameters and BMI. Regression models were used to associate diet and DNA methylation, and to test for effect modification. Few significant signals were identified in the basic analysis while many significant signals were observed in models including food group-metabotype interaction terms. Most findings refer to interactions of food intake with metabotype 3, which is the metabotype with the most unfavorable metabolic profile. This research highlights the importance of the metabolic characteristics of subjects when identifying associations between diet and white blood cell DNA methylation in EWAS.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: Diet",10.3390/life12071064,"RISK;VITAMIN-B-12;ADJUSTMENT;FOLATE;BLOOD;DNA (Cytosine-5-)-Methyltransferase;DNA, B-Form;DNA, A-Form",,
rayyan-1000428247,"Pooled analysis of epigenome-wide association studies of food        consumption in KORA, TwinsUK and LLS",,,,EUROPEAN JOURNAL OF NUTRITION,1436-6207,,,,"Hellbach, F and Sinke, L and Costeira, R and Baumeister, SE and Beekman, M and Louca, P and Leeming, ER and Mompeo, O and Berry, S and Wilson, R and Wawro, N and Freuer, D and Hauner, H and Peters, A and Winkelmann, J and Koenig, W and Meisinger, C and Waldenberger, M and Heijmans, BT and Slagboom, PE and Bell, JT and Linseisen, J and Hellbach, Fabian and Sinke, Lucy and Costeira, Ricardo and Baumeister, Sebastian-Edgar and Beekman, Marian and Louca, Panayiotis and Leeming, Emily R. and Mompeo, Olatz and Berry, Sarah and Wilson, Rory and Wawro, Nina and Freuer, Dennis and Hauner, Hans and Peters, Annette and Winkelmann, Juliane and Koenig, Wolfgang and Meisinger, Christa and Waldenberger, Melanie and Heijmans, Bastiaan T. and Slagboom, P. Eline and Bell, Jordana T. and Linseisen, Jakob",,English,SPRINGER HEIDELBERG,"TIERGARTENSTRASSE 17, D-69121 HEIDELBERG, GERMANY","Purpose Examining epigenetic patterns is a crucial step in identifying molecular changes of disease pathophysiology, with DNA methylation as the most accessible epigenetic measure. Diet is suggested to affect metabolism and health via epigenetic modifications. Thus, our aim was to explore the association between food consumption and DNA methylation. Methods Epigenome-wide association studies were conducted in three cohorts: KORA FF4, TwinsUK, and Leiden Longevity Study, and 37 dietary exposures were evaluated. Food group definition was harmonized across the three cohorts. DNA methylation was measured using Infinium MethylationEPIC BeadChip in KORA and Infinium HumanMethylation450 BeadChip in the Leiden study and the TwinsUK study. Overall, data from 2293 middle-aged men and women were included. A fixed-effects meta-analysis pooled study-specific estimates. The significance threshold was set at 0.05 for false-discovery rate-adjusted p values per food group. Results We identified significant associations between the methylation level of CpG sites and the consumption of onions and garlic (2), nuts and seeds (18), milk (1), cream (11), plant oils (4), butter (13), and alcoholic beverages (27). The signals targeted genes of metabolic health relevance, for example, GLI1, RPTOR, and DIO1, among others. Conclusion This EWAS is unique with its focus on food groups that are part of a Western diet. Significant findings were mostly related to food groups with a high-fat content.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: Diet",10.1007/s00394-022-03074-9     EA DEC 2022,DNA METHYLATION;NONAGENARIAN SIBLINGS;RISK;DIET;IDENTIFICATION;VITAMIN-B-12;FOLATE;BLOOD,,
rayyan-1000428254,"Epigenome-wide Association Study Analysis of Calorie Restriction in        Humans, CALERIE (TM) Trial Analysis",2022,12,,JOURNALS OF GERONTOLOGY SERIES A-BIOLOGICAL SCIENCES AND MEDICAL        SCIENCES,1079-5006,77,12,2395-2401,"Ramaker, ME and Corcoran, DL and Apsley, AT and Kobor, MS and Kraus, VB and Kraus, WE and Lin, DTS and Orenduff, MC and Pieper, CF and Waziry, R and Huffman, KM and Belsky, DW and Ramaker, Megan E. and Corcoran, David L. and Apsley, Abner T. and Kobor, Michael S. and Kraus, Virginia B. and Kraus, William E. and Lin, David T. S. and Orenduff, Melissa C. and Pieper, Carl F. and Waziry, Reem and Huffman, Kim M. and Belsky, Daniel W.",,English,OXFORD UNIV PRESS INC,"JOURNALS DEPT, 2001 EVANS RD, CARY, NC 27513 USA","Calorie restriction (CR) increases healthy life span and is accompanied by slowing or reversal of aging-associated DNA methylation (DNAm) changes in animal models. In the Comprehensive Assessment of Long-term Effects of Reducing Intake of Energy (CALERIE (TM)) human trial, we evaluated associations of CR and changes in whole-blood DNAm. CALERIE (TM) randomized 220 healthy, nonobese adults in a 2:1 allocation to 2 years of CR or ad libitum (AL) diet. The average CR in the treatment group through 24 months of follow-up was 12%. Whole blood (baseline, 12, and 24 months) DNAm profiles were measured. Epigenome-wide association study (EWAS) analysis tested CR-induced changes from baseline to 12 and 24 months in the n = 197 participants with available DNAm data. CR treatment was not associated with epigenome-wide significant (false discovery rate [FDR] < 0.05) DNAm changes at the individual-CpG-site level. Secondary analysis of sets of CpG sites identified in published EWAS revealed that CR induced DNAm changes opposite to those associated with higher body mass index and cigarette smoking (p < .003 at 12- and 24-month follow-ups). In contrast, CR altered DNAm at chronological-age-associated CpG sites in the direction of older age (p < .003 at 12- and 24-month follow-ups). Although individual CpG site DNAm changes in response to CR were not identified, analyses of sets CpGs identified in prior EWAS revealed CR-induced changes to blood DNAm. Altered CpG sets were enriched for insulin production, glucose tolerance, inflammation, and DNA-binding and DNA-regulation pathways, several of which are known to be modified by CR. DNAm changes may contribute to CR effects on aging.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: Diet",10.1093/gerona/glac168     EA AUG 2022,RANDOMIZED CONTROLLED-TRIAL;C-REACTIVE PROTEIN;DNA METHYLATION;SMOKING;PACKAGE;DESIGN;SPAN;Humanities;Humanism;Humans;Epigenomics,,
rayyan-1000428255,Epigenome-wide association study of serum cotinine in current smokers        reveals novel genetically driven loci,2019,1,5,CLINICAL EPIGENETICS,1868-7075,11,,,"Gupta, R and van Dongen, J and Fu, Y and Abdellaoui, A and Tyndale, RF and Velagapudi, V and Boomsma, DI and Korhonen, T and Kaprio, J and Loukola, A and Ollikainen, M and Gupta, Richa and van Dongen, Jenny and Fu, Yu and Abdellaoui, Abdel and Tyndale, Rachel F. and Velagapudi, Vidya and Boomsma, Dorret I. and Korhonen, Tellervo and Kaprio, Jaakko and Loukola, Anu and Ollikainen, Miina",,English,BMC,"CAMPUS, 4 CRINAN ST, LONDON N1 9XW, ENGLAND","BackgroundDNA methylation alteration extensively associates with smoking and is a plausible link between smoking and adverse health. We examined the association between epigenome-wide DNA methylation and serum cotinine levels as a proxy of nicotine exposure and smoking quantity, assessed the role of SNPs in these associations, and evaluated molecular mediation by methylation in a sample of biochemically verified current smokers (N=310).ResultsDNA methylation at 50 CpG sites was associated (FDR <0.05) with cotinine levels, 17 of which are novel associations. As cotinine levels are influenced not only by nicotine intake but also by CYP2A6-mediated nicotine metabolism rate, we performed secondary analyses adjusting for genetic risk score of nicotine metabolism rate and identified five additional novel associations. We further assessed the potential role of genetic variants in the detected association between methylation and cotinine levels observing 124 cis and 3898 trans methylation quantitative trait loci (meQTLs). Nineteen of these SNPs were also associated with cotinine levels (FDR <0.05). Further, at seven CpG sites, we observed a trend (P<0.05) that altered DNA methylation mediates the effect of SNPs on nicotine exposure rather than a direct consequence of smoking. Finally, we performed replication of our findings in two independent cohorts of biochemically verified smokers (N=450 and N=79).ConclusionsUsing cotinine, a biomarker of nicotine exposure, we replicated and extended identification of novel epigenetic associations in smoking-related genes. We also demonstrated that DNA methylation in some of the identified loci is driven by the underlying genotype and may mediate the causal effect of genotype on cotinine levels.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: smoking",10.1186/s13148-018-0606-9,NICOTINE METABOLITE RATIO;DIFFERENTIAL DNA METHYLATION;SELF-REPORTED        SMOKING;CIGARETTE SMOKERS;BLOOD;BIOMARKER;PATHWAY;LUNG;CESSATION;ACCURACY;Epigenomics,,
rayyan-1000428266,"The effect of 5-fluorouracil/leucovorin chemotherapy on CpG methylation,        or the confounding role of leukocyte heterogeneity: An illustration",2015,12,,GENOMICS,0888-7543,106,6,340-347,"Lemire, M and Zaidi, SHE and Zanke, BW and Gallinger, S and Hudson, TJ and Cleary, SP and Lemire, Mathieu and Zaidi, Syed H. E. and Zanke, Brent W. and Gallinger, Steven and Hudson, Thomas J. and Cleary, Sean P.",,English,ACADEMIC PRESS INC ELSEVIER SCIENCE,"525 B ST, STE 1900, SAN DIEGO, CA 92101-4495 USA","Blood-based epigenome-wide association studies that aim at comparing CpG methylation between colorectal cancer (CRC) patients and controls can lead to the discovery of diagnostic or prognostic biomarkers. Numerous confounders can lead to spurious associations. We aimed to see if 5-fluorouracil (5-FU)/leucovorin chemotherapy administered to cases prior to the collection of their blood has an effect on methylation. 304 patients who received treatment and 273 who did not were profiled on the HumanMethylation450 array. Association tests were adjusted for confounders, including proxies for leukocyte cell counts. There were substantial methylation differences between these two groups that vanished once the leukocyte heterogeneity was accounted for. We observed a significant decrease of T cells in the treatment group (CD4+: p = 10(-6); CD8+: p = 0.036) and significant increase of NK cells (p = 0.05) and monocytes (p = 0.0006). 5-FU/leucovorin has no effect on global and local blood-based methylation profiles, other than through differences in the leukocyte compositions that the treatment induced. (C) 2015 Elsevier Inc. All rights reserved.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: chemotherapy",10.1016/j.ygeno.2015.09.003,EPIGENOME-WIDE ASSOCIATION;DNA METHYLATION;COLORECTAL-CANCER;CIGARETTE-SMOKING;ADENOMATOUS POLYPS;COLON-CANCER;HUMAN-TUMORS;ALCOHOL;FOLATE;RISK;Fluorouracil;Leukocytes;Methylation,,
rayyan-1000428298,Epigenetic Markers Are Associated With Differences in Isocyanate        Biomarker Levels in Exposed Spray-Painters,2021,7,14,FRONTIERS IN GENETICS,,12,,,"Taylor, LW and French, JE and Robbins, ZG and Nylander-French, LA and Taylor, Laura W. and French, John E. and Robbins, Zachary G. and Nylander-French, Leena A.",,English,FRONTIERS MEDIA SA,"AVENUE DU TRIBUNAL FEDERAL 34, LAUSANNE, CH-1015, SWITZERLAND","Isocyanates are respiratory and skin sensitizers that are one of the main causes of occupational asthma globally. Genetic and epigenetic markers are associated with isocyanate-induced asthma and, before asthma develops, we have shown that genetic polymorphisms are associated with variation in plasma and urine biomarker levels in exposed workers. Inter-individual epigenetic variance may also have a significant role in the observed biomarker variability following isocyanate exposure. Therefore, we determined the percent methylation for CpG islands from DNA extracted from mononuclear blood cells of 24 male spray-painters exposed to 1,6-hexamethylene diisocyanate (HDI) monomer and HDI isocyanurate. Spray-painters' personal inhalation and skin exposure to these compounds and the respective biomarker levels of 1,6-diaminohexane (HDA) and trisaminohexyl isocyanurate (TAHI) in their plasma and urine were measured during three repeated industrial hygiene monitoring visits. We controlled for inhalation exposure, skin exposure, age, smoking status, and ethnicity as covariates and performed an epigenome-wide association study (EWAS) using likelihood-ratio statistical modeling. We identified 38 CpG markers associated with differences in isocyanate biomarker levels (Bonferroni < 0.05). Annotations for these markers included 18 genes: ALG1, ANKRD11, C16orf89, CHD7, COL27A, FUZ, FZD9, HMGN1, KRT6A, LEPR, MAPK10, MED25, NOSIP, PKD1, SNX19, UNC13A, UROS, and ZFHX3. We explored the functions of the genes that have been published in the literature and used GeneMANIA to investigate gene ontologies and predicted protein-interaction networks. The protein functions of the predicted networks include keratinocyte migration, cell-cell adhesions, calcium transport, neurotransmitter release, nitric oxide production, and apoptosis regulation. Many of the protein pathway functions overlap with previous findings on genetic markers associated with variability both in isocyanate biomarker levels and asthma susceptibility, which suggests there are overlapping protein pathways that contribute to both isocyanate toxicokinetics and toxicodynamics. These predicted protein networks can inform future research on the mechanism of allergic airway sensitization by isocyanates and aid in the development of mitigation strategies to better protect worker health.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: HDI exposure",10.3389/fgene.2021.700636,EXHALED NITRIC-OXIDE;DIISOCYANATE-INDUCED ASTHMA;GENETIC-VARIANTS;OCCUPATIONAL ASTHMA;CLASS-I;INFLAMMATION;WORKERS;DNA;GENOTYPES;SYNTHASE;Biological Markers;Epigenomics,,
rayyan-1000428324,Association of dietary folate and vitamin B-12 intake with genome-wide        DNA methylation in blood: a large-scale epigenome-wide association        analysis in 5841 individuals,2019,8,,AMERICAN JOURNAL OF CLINICAL NUTRITION,0002-9165,110,2,437-450,"Mandaviya, PR and Joehanes, R and Brody, J and Castillo-Fernandez, JE and Dekkers, KF and Do, AN and Graff, M and Hanninen, IK and Tanaka, T and de Jonge, EAL and Kiefte-de Jong, JC and Absher, DM and Aslibekyan, S and de Rijke, YB and Fornage, M and Hernandez, DG and Hurme, MA and Ikram, MA and Jacques, PF and Justice, AE and Kiel, DP and Lemaitre, RN and Mendelson, MM and Mikkila, V and Moore, AZ and Pallister, T and Raitakari, OT and Schalkwijk, CG and Sha, J and Slagboom, EPE and Smith, CE and Stehouwer, CDA and Tsai, PC and Uitterlinden, AG and van der Kallen, CJH and van Heemst, D and Arnett, DK and Bandinelli, S and Bell, JT and Heijmans, BT and Lehtimaki, T and Levy, D and North, KE and Sotoodehnia, N and van Greevenbroek, MMJ and van Meurs, JBJ and Heil, SG and Mandaviya, Pooja R. and Joehanes, Roby and Brody, Jennifer and Castillo-Fernandez, Juan E. and Dekkers, Koen F. and Do, Anh N. and Graff, Mariaelisa and Hanninen, Ismo K. and Tanaka, Toshiko and de Jonge, Ester A. L. and Kiefte-de Jong, Jessica C. and Absher, Devin M. and Aslibekyan, Stella and de Rijke, Yolanda B. and Fornage, Myriam and Hernandez, Dena G. and Hurme, Mikko A. and Ikram, M. Arfan and Jacques, Paul F. and Justice, Anne E. and Kiel, Douglas P. and Lemaitre, Rozenn N. and Mendelson, Michael M. and Mikkila, Vera and Moore, Ann Z. and Pallister, Tess and Raitakari, Olli T. and Schalkwijk, Casper G. and Sha, Jin and Slagboom, Eline P. E. and Smith, Caren E. and Stehouwer, Coen D. A. and Tsai, Pei-Chien and Uitterlinden, Andre G. and van der Kallen, Carla J. H. and van Heemst, Diana and Arnett, Donna K. and Bandinelli, Stefania and Bell, Jordana T. and Heijmans, Bastiaan T. and Lehtimaki, Terho and Levy, Daniel and North, Kari E. and Sotoodehnia, Nona and van Greevenbroek, Marleen M. J. and van Meurs, Joyce B. J. and Heil, Sandra G. and BIOS Consortium and CHARGE Consortium Epigenetics and CHARGE Consortium Nutr Working Grp",,English,OXFORD UNIV PRESS,"GREAT CLARENDON ST, OXFORD OX2 6DP, ENGLAND","Background: Folate and vitamin B-12 are essential micronutrients involved in the donation of methyl groups in cellular metabolism. However, associations between intake of these nutrients and genome-wide DNA methylation levels have not been studied comprehensively in humans.        Objective: The aim of this study was to assess whether folate and/or vitamin B-12 intake are asssociated with genome-wide changes in DNA methylation in leukocytes.        Methods: A large-scale epigenome-wide association study of folate and vitamin B-12 intake was performed on DNA from 5841 participants from 10 cohorts using Illumina 450k arrays. Folate and vitamin B-12 intakes were calculated from food-frequency questionnaires (FFQs). Continuous and categorical (low compared with high intake) linear regression mixed models were applied per cohort, controlling for confounders. A meta-analysis was performed to identify significant differentially methylated positions (DMPs) and regions (DMRs), and a pathway analysis was performed on the DMR annotated genes.        Results: The categorical model resulted in 6 DMPs, which are all negatively associated with folate intake, annotated to FAM64A, WRAP73, FRMD8, CUX1, and LCN8 genes, which have a role in cellular processes including centrosome localization, cell proliferation, and tumorigenesis. Regional analysis showed 74 folate-associated DMRs, of which 73 were negatively associated with folate intake. The most significant folate-associated DMR was a 400-base pair (bp) spanning region annotated to the LGALS3BP gene. In the categorical model, vitamin B-12 intake was associated with 29 DMRs annotated to 48 genes, of which the most significant was a 1100-bp spanning region annotated to the calcium-binding tyrosine phosphorylation-regulated gene (CABYR). Vitamin B-12 intake was not associated with DMPs.        Conclusions: We identified novel epigenetic loci that are associated with folate and vitamin B-12 intake. Interestingly, we found a negative association between folate and DNA methylation. Replication of these methylation loci is necessary in future studies.","RAYYAN-INCLUSION: {""Jari""=>""Included""} | RAYYAN-LABELS: folate,vitamin",10.1093/ajcn/nqz031,ONE-CARBON METABOLISM;GLOBAL METHYLATION;INTERACTOR CATS;RISK-FACTORS;CANCER;PREVALENCE;SURVIVAL;PROTEIN;ARRAY;CALM;DNA (Cytosine-5-)-Methyltransferase;Folic Acid;Genome;Vitamins,,
